epoch_no,created,consumed,net_change,utxo_count_end,ordinary_created,collateral_return_created,ordinary_consumed,collateral_consumed
536,802235,784897,17338,11070037,802235,0,784897,0
537,1025127,1035091,-9964,11060073,1025127,0,1035091,0
538,661529,643633,17896,11077969,661529,0,643633,0
539,629251,645024,-15773,11062196,629251,0,645024,0
540,667393,731376,-63983,10998213,667393,0,731376,0
541,636994,601735,35259,11033472,636994,0,601735,0
542,625652,718673,-93021,10940451,625652,0,718673,0
543,857810,857715,95,10940546,857810,0,857715,0
544,555405,545024,10381,10950927,555405,0,545024,0
545,446554,442054,4500,10955427,446554,0,442054,0
546,377680,371204,6476,10961903,377680,0,371204,0
547,396111,383718,12393,10974296,396111,0,383718,0
548,381387,372664,8723,10983019,381387,0,372664,0
549,402791,404277,-1486,10981533,402791,0,404277,0
550,487112,480015,7097,10988630,487112,0,480015,0
551,384447,377489,6958,10995588,384447,0,377489,0
552,364425,356416,8009,11003597,364425,0,356416,0
553,472968,489716,-16748,10986849,472968,0,489716,0
554,496235,517708,-21473,10965376,496235,0,517708,0
555,436982,429257,7725,10973101,436982,0,429257,0
556,494958,490581,4377,10977478,494958,0,490581,0
557,514615,531298,-16683,10960795,514615,0,531298,0
558,471615,461504,10111,10970906,471615,0,461504,0
559,513937,463033,50904,11021810,513937,0,463033,0
560,434571,443038,-8467,11013343,434571,0,443038,0
561,465203,454068,11135,11024478,465203,0,454068,0
562,423029,421799,1230,11025708,423029,0,421799,0
563,470611,455966,14645,11040353,470611,0,455966,0
564,390182,388258,1924,11042277,390182,0,388258,0
565,418353,414504,3849,11046126,418353,0,414504,0
566,388165,386676,1489,11047615,388165,0,386676,0
567,459171,458385,786,11048401,459171,0,458385,0
568,346468,332634,13834,11062235,346468,0,332634,0
569,524163,541266,-17103,11045132,524163,0,541266,0
570,573029,560526,12503,11057635,573029,0,560526,0
571,529283,536715,-7432,11050203,529283,0,536715,0
572,440839,450261,-9422,11040781,440839,0,450261,0
573,509507,500144,9363,11050144,509507,0,500144,0
574,526885,506128,20757,11070901,526885,0,506128,0
575,565123,590854,-25731,11045170,565123,0,590854,0
576,629268,630349,-1081,11044089,629268,0,630349,0
577,466836,468940,-2104,11041985,466836,0,468940,0
578,394991,398877,-3886,11038099,394991,0,398877,0
579,387482,379722,7760,11045859,387482,0,379722,0
580,483232,478773,4459,11050318,483232,0,478773,0
581,476289,474942,1347,11051665,476289,0,474942,0
582,482040,500046,-18006,11033659,482040,0,500046,0
583,405762,417111,-11349,11022310,405762,0,417111,0
584,426133,434169,-8036,11014274,426133,0,434169,0
585,366194,397754,-31560,10982714,366194,0,397754,0
586,379645,383981,-4336,10978378,379645,0,383981,0
587,439332,445665,-6333,10972045,439332,0,445665,0
588,402885,397517,5368,10977413,402885,0,397517,0
589,381121,373820,7301,10984714,381121,0,373820,0
590,377226,369380,7846,10992560,377226,0,369380,0
591,438054,448303,-10249,10982311,438054,0,448303,0
592,502102,501324,778,10983089,502102,0,501324,0
593,397813,382471,15342,10998431,397813,0,382471,0
594,369894,375004,-5110,10993321,369894,0,375004,0
595,477458,478288,-830,10992491,477458,0,478288,0
596,390445,387251,3194,10995685,390445,0,387251,0
597,355389,347700,7689,11003374,355389,0,347700,0
598,399587,398344,1243,11004617,399587,0,398344,0
599,579449,578574,875,11005492,579449,0,578574,0
600,736111,711207,24904,11030396,736111,0,711207,0
601,640890,622377,18513,11048909,640890,0,622377,0
602,652986,645957,7029,11055938,652986,0,645957,0
603,453642,443486,10156,11066094,453642,0,443486,0
604,464949,451341,13608,11079702,464949,0,451341,0
605,419828,416362,3466,11083168,419828,0,416362,0
606,317799,323186,-5387,11077781,317799,0,323186,0
607,325604,324544,1060,11078841,325604,0,324544,0
608,335861,323414,12447,11091288,335861,0,323414,0
609,334975,332178,2797,11094085,334975,0,332178,0
610,529872,523627,6245,11100330,529872,0,523627,0
611,522205,514262,7943,11108273,522205,0,514262,0
612,374922,359737,15185,11123458,374922,0,359737,0
613,322947,321948,999,11124457,322947,0,321948,0
614,323438,318483,4955,11129412,323438,0,318483,0
615,358595,356947,1648,11131060,358595,0,356947,0
616,314492,304732,9760,11140820,314492,0,304732,0
617,268099,263678,4421,11145241,268099,0,263678,0
618,352592,347978,4614,11149855,352592,0,347978,0
619,316398,314161,2237,11152092,316398,0,314161,0
620,306108,305703,405,11152497,306108,0,305703,0
621,340572,328271,12301,11164798,340572,0,328271,0
622,363481,353024,10457,11175255,363481,0,353024,0
623,278642,278230,412,11175667,278642,0,278230,0
624,273660,266892,6768,11182435,273660,0,266892,0
625,289395,281058,8337,11190772,289395,0,281058,0
626,304436,317250,-12814,11177958,304436,0,317250,0
627,310066,317267,-7201,11170757,310066,0,317267,0
628,266518,275733,-9215,11161542,266518,0,275733,0
629,328721,337678,-8957,11152585,328721,0,337678,0
630,298866,295738,3128,11155713,298866,0,295738,0
631,285849,285041,808,11156521,285849,0,285041,0
632,340860,347104,-6244,11150277,340860,0,347104,0
633,354109,348260,5849,11156126,354109,0,348260,0
634,392869,403911,-11042,11145084,392869,0,403911,0
635,580655,593837,-13182,11131902,580655,0,593837,0
636,325582,324003,1579,11133481,325582,0,324003,0
637,348114,351480,-3366,11130115,348114,0,351480,0
638,345879,386436,-40557,11089558,345879,0,386436,0
639,330113,339447,-9334,11080224,330113,0,339447,0
640,313393,308492,4901,11085125,313393,0,308492,0
641,302653,309610,-6957,11078168,302653,0,309610,0
642,272717,268913,3804,11081972,272717,0,268913,0
643,260452,258383,2069,11084041,260452,0,258383,0
644,484167,477759,6408,11090449,484167,0,477759,0
645,241571,237857,3714,11094163,241571,0,237857,0
646,263341,271389,-8048,11086115,263341,0,271389,0
647,245117,248284,-3167,11082948,245117,0,248284,0
648,199122,205741,-6619,11076329,199122,0,205741,0
